Product Name,File Path,Config file name,Type,Search Provider Used,Content Delivery (CD),Content Management (CM),Processing,CM + Processing,Reporting,Reporting Client
Platform,\website\App_Config\Include,Sitecore.DefaultLanguage.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\Include,Sitecore.Diagnostics.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.EngagementAutomation.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.EngagementAutomation.Processing.Aggregation.config,config,,Disable,Enable,Enable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.EngagementAutomation.Processing.Aggregation.ProcessingPools.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.EngagementAutomation.Processing.Aggregation.Services.config,config,,Disable,Disable,Enable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.EngagementAutomation.Processing.config,config,,Disable,Enable,Enable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.EngagementAutomation.TimeoutProcessing.config,config,,Disable,Enable,Enable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.EngagementAutomation.Tracking.config,config,,Enable,Enable,Disable,Enable,Disable,n/a
Experience Editor,\website\App_Config\Include,Sitecore.ExperienceEditor.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Experience Editor,\website\App_Config\Include,Sitecore.ExperienceEditor.Speak.Requests.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Experience Editor,\website\App_Config\Include,Sitecore.ExperienceExplorer.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Experience Editor,\website\App_Config\Include,Sitecore.ExperienceExplorer.Speak.Requests.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform - Item Web API,\website\App_Config\Include,Sitecore.ItemWebApi.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\Include,Sitecore.JSNLog.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\Include,Sitecore.LanguageFallback.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Client.config,config,,Disable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Definitions.MarketingAssets.Repositories.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Definitions.MarketingAssets.Repositories.Lucene.Index.Master.config,config,Lucene is used,Disable,Enable,Disable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Definitions.MarketingAssets.Repositories.Lucene.Index.Web.config,config,Lucene is used,Enable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Definitions.MarketingAssets.Repositories.Lucene.IndexConfiguration.config,config,Lucene is used,Enable,Enable,Disable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Definitions.MarketingAssets.Repositories.Solr.Index.Master.config.disabled,config,Solr is used,Disable,Enable,Disable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Definitions.MarketingAssets.Repositories.Solr.Index.Web.config.disabled,config,Solr is used,Enable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Definitions.MarketingAssets.Repositories.Solr.IndexConfiguration.config.disabled,config,Solr is used,Enable,Enable,Disable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Definitions.MarketingAssets.Repositories.Azure.Index.Master.config.disabled,config,Azure is used,Disable,Enable,Disable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Definitions.MarketingAssets.Repositories.Azure.Index.Web.config.disabled,config,Azure is used,Enable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Definitions.MarketingAssets.Repositories.Azure.IndexConfiguration.config.disabled,config,Azure is used,Enable,Enable,Disable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Definitions.MarketingAssets.RepositoriesCD.config.disabled,config,,Enable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Lucene.Index.Master.config,config,Lucene is used,Disable,Enable,Disable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Lucene.Index.Web.config,config,Lucene is used,Enable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Lucene.IndexConfiguration.config,config,Lucene is used,Enable,Enable,Disable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Search.config,config,Base,Enable,Enable,Enable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Lucene.IndexConfiguration.config ,config,Solr is used,Disable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Solr.Index.Master.config.disabled,config,Solr is used,Disable,Enable,Disable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Solr.Index.Web.config.disabled,config,Solr is used,Enable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Solr.IndexConfiguration.config.disabled,config,Solr is used,Enable,Enable,Disable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Azure.Index.Master.config.disabled,config,Azure is used,Disable,Enable,Disable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Azure.Index.Web.config.disabled,config,Azure is used,Enable,Disable,Disable,Disable,Disable,n/a
